Frame,Timestamp,MP,PIP,DIP,AccScore
1,1755,183,169,171,0
2,1792,183,165,172,0
3,1831,184,164,170,0
4,1866,182,165,173,0
5,1903,183,166,172,0
6,1939,181,168,173,0
7,1975,180,171,176,0
8,2013,179,173,177,1
9,2054,178,174,178,3
10,2092,178,175,178,3
11,2128,177,175,179,4
12,2167,177,176,179,4
13,2204,176,176,180,5
14,2240,176,176,179,5
15,2277,175,177,180,7
16,2319,173,178,181,9
17,2355,172,179,181,11
18,2400,167,180,182,17
19,2441,165,181,182,20
20,2484,160,180,182,27
21,2517,152,179,180,37
22,2555,148,179,180,43
23,2596,143,178,178,49
24,2637,141,177,177,52
25,2690,139,176,177,55
26,2730,135,177,177,60
27,2771,134,175,177,61
28,2806,130,177,178,67
29,2850,126,177,179,72
30,2888,127,175,178,71
31,2932,123,173,177,76
32,2968,122,174,177,77
33,3006,121,172,178,79
34,3042,119,171,178,81
35,3092,117,171,179,84
36,3132,114,169,181,88
37,3179,113,168,181,89
38,3223,112,165,182,91
39,3261,112,163,180,91
40,3302,113,162,180,89
41,3341,112,163,180,91
42,3379,112,163,180,91
43,3417,111,164,180,92
44,3451,112,166,179,91
45,3504,111,168,178,92
46,3543,111,167,178,92
47,3581,109,165,179,95
48,3620,108,164,179,96
49,3658,109,162,178,95
50,3696,109,162,177,95
51,3731,108,162,178,96
52,3769,108,161,182,96
53,3804,109,160,183,95
54,3840,110,202,184,93
55,3876,111,158,184,92
56,3917,110,229,187,93
57,3955,112,223,182,91
58,3991,119,236,189,81
59,4034,124,224,185,75
60,4077,135,164,184,60
61,4120,147,175,181,44
62,4163,152,177,180,37
63,4206,157,179,180,31
64,4242,160,179,180,27
65,4277,163,179,180,23
66,4328,165,180,181,20
67,4365,165,180,181,20
68,4397,166,181,181,19
69,4431,167,181,182,17
70,4465,167,181,182,17
71,4500,168,181,182,16
72,4537,168,181,183,16
73,4574,169,181,183,15
74,4608,170,181,183,13
75,4648,170,181,183,13
76,4685,171,181,182,12
77,4718,172,181,182,11
78,4754,172,181,182,11
79,4785,172,181,182,11
80,4820,172,181,182,11
81,4853,173,181,182,9
82,4902,173,181,182,9
83,4935,173,181,182,9
84,4970,173,182,182,9
85,5003,173,182,182,9
86,5036,173,182,182,9
87,5068,174,182,182,8
88,5102,174,181,182,8
89,5134,174,181,182,8
90,5167,174,181,182,8
91,5200,174,181,182,8
92,5238,175,181,182,7
93,5270,175,181,182,7
