Frame,Timestamp,MP,PIP,DIP,AccScore
1,1948,172,165,167,11
2,1989,170,166,169,13
3,2029,169,166,168,15
4,2065,168,167,170,16
5,2104,168,167,171,16
6,2140,168,170,173,16
7,2176,167,172,175,17
8,2213,168,172,176,16
9,2249,167,175,177,17
10,2287,167,175,177,17
11,2322,168,175,177,16
12,2360,168,175,177,16
13,2398,169,175,178,15
14,2437,169,176,178,15
15,2475,169,176,178,15
16,2512,169,177,179,15
17,2549,169,177,179,15
18,2582,169,178,180,15
19,2620,169,178,180,15
20,2655,167,179,180,17
21,2694,167,179,180,17
22,2730,164,180,180,21
23,2772,162,180,180,24
24,2812,156,182,182,32
25,2849,146,179,182,45
26,2882,140,177,181,53
27,2919,134,177,181,61
28,2955,130,176,179,67
29,2989,128,176,180,69
30,3027,127,176,179,71
31,3063,123,178,181,76
32,3103,120,180,182,80
33,3138,118,180,182,83
34,3174,118,181,182,83
35,3214,117,180,183,84
36,3251,116,179,184,85
37,3286,116,177,184,85
38,3322,117,176,182,84
39,3359,117,175,181,84
40,3395,117,174,179,84
41,3431,118,173,179,83
42,3470,117,170,176,84
43,3506,117,169,176,84
44,3542,117,167,176,84
45,3585,118,166,177,83
46,3629,117,165,176,84
47,3670,117,164,176,84
48,3711,117,156,183,84
49,3748,117,218,186,84
50,3792,117,250,199,84
51,3828,117,256,201,84
52,3866,116,250,200,85
53,3906,116,259,202,85
54,3943,116,264,203,85
55,3981,116,267,203,85
56,4025,115,267,203,87
57,4069,114,269,204,88
58,4109,113,261,203,89
59,4147,113,261,204,89
60,4184,113,264,204,89
61,4223,113,264,204,89
62,4260,113,268,204,89
63,4298,113,275,205,89
64,4336,114,241,198,88
65,4375,113,220,186,89
66,4417,115,156,182,87
67,4452,117,162,175,84
68,4491,118,167,174,83
69,4525,123,168,174,76
70,4563,125,170,174,73
71,4599,131,172,174,65
72,4636,132,173,175,64
73,4672,137,175,176,57
74,4710,140,176,177,53
75,4747,145,177,178,47
76,4785,151,177,179,39
77,4823,154,178,180,35
78,4857,157,178,180,31
79,4894,159,179,180,28
80,4931,162,179,180,24
81,4968,163,179,180,23
82,5005,165,179,180,20
83,5045,166,180,180,19
84,5082,167,181,180,17
85,5118,168,181,180,16
86,5157,168,181,180,16
87,5192,168,181,179,16
88,5231,168,180,179,16
89,5269,168,180,179,16
90,5322,168,180,179,16
91,5364,168,180,179,16
92,5400,167,181,179,17
93,5442,166,181,179,19
94,5487,165,181,179,20
95,5525,165,181,179,20
96,5564,166,180,179,19
97,5599,166,181,180,19
98,5639,166,180,180,19
99,5676,166,181,180,19
