Frame,Timestamp,MP,PIP,DIP,AccScore
1,6826,184,162,165,0
2,7849,120,168,186,80
3,8867,151,173,181,39
4,9872,170,163,171,13
5,10912,117,158,188,84
6,11934,168,178,182,16
7,12974,146,179,183,45
8,14002,157,172,175,31
9,15007,182,181,182,0
10,16040,150,179,183,40
11,17049,128,166,180,69
12,18071,159,177,178,28
13,19089,112,275,205,91
14,20097,143,165,174,49
15,21120,132,176,182,64
16,22145,118,244,193,83
17,23177,127,170,182,71
18,24183,116,279,209,85
19,25195,144,181,184,48
20,26204,118,163,194,83
21,27227,105,282,207,100
22,28232,105,264,199,100
23,29263,107,270,202,97
24,30287,135,176,181,60
25,31293,111,249,200,92
26,32317,135,179,184,60
27,33336,152,165,169,37
